SpeciesID,SpecCode,Genus,Species,FBname,OccurCells,Kingdom,Phylum,Class,Order,Family,iucn_id,iucn_code,iucn_version
ITS-Mam-612592,70932,Balaenoptera,bonaerensis,Antarctic minke whale,521,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,2480,NT,2020-2
ITS-Mam-180526,69005,Balaenoptera,borealis,sei whale,1407,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,2475,EN,2020-2
ITS-Mam-612597,70936,Balaenoptera,brydei,Bryde's whale,85,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,NA,N.E.,2020-2
ITS-Mam-180525,69004,Balaenoptera,edeni,Eden's whale,619,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,2476,LC,2020-2
ITS-Mam-180528,69007,Balaenoptera,musculus,blue whale,2700,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,2477,EN,2020-2
ITS-Mam-180527,69006,Balaenoptera,physalus,fin whale,4378,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,2478,VU,2020-2
ITS-Mam-180530,69008,Megaptera,novaeangliae,humpback whale,4984,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,13006,LC,2020-2
ITS-Mam-180449,69389,Cephalorhynchus,commersonii,Commerson's dolphin,165,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,4159,LC,2020-2
ITS-Mam-180450,69390,Cephalorhynchus,eutropia,black dolphin,11,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,4160,NT,2020-2
ITS-Mam-180451,69391,Cephalorhynchus,heavisidii,Heaviside's dolphin,31,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,4161,NT,2020-2
ITS-Mam-180452,69392,Cephalorhynchus,hectori,Hector's dolphin,26,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,4162,EN,2020-2
ITS-Mam-555654,69832,Delphinus,capensis,long-beaked common dolphin,122,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,6337,DD,2020-2
ITS-Mam-180438,69381,Delphinus,delphis,common dolphin,3469,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,6336,LC,2020-2
ITS-Mam-180461,69397,Feresa,attenuata,pygmy killer whale,477,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,8551,LC,2020-2
ITS-Mam-180466,69399,Globicephala,macrorhynchus,short-finned pilot whale,1272,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,9249,LC,2020-2
ITS-Mam-552461,69721,Globicephala,melas,long-finned pilot whale,1624,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,9250,LC,2020-2
ITS-Mam-180457,69395,Grampus,griseus,Risso's dolphin,2126,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,9461,LC,2020-2
ITS-Mam-180440,69382,Lagenodelphis,hosei,Fraser's dolphin,427,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,11140,LC,2020-2
ITS-Mam-180443,69384,Lagenorhynchus,acutus,Atlantic white-sided dolphin,853,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,11141,LC,2020-2
